"SendTime2","Snow","Snow2","Ice_Bottom","Ice_Top","Ice_Top2","Diff","SnowDepth","IceDepth"
2020-02-27 00:00:00,62,62,73,73,73,22,22,0
2020-02-27 06:00:00,64,64,77,NA,73.0909090909091,26,18.1818181818182,7.81818181818181
2020-02-27 12:00:00,64,64,82,NA,73.1818181818182,36,18.3636363636364,17.6363636363636
2020-02-27 18:00:00,64,64,83,NA,73.2727272727273,38,18.5454545454545,19.4545454545455
2020-02-28 00:00:00,66,66,87,NA,73.3636363636364,42,14.7272727272727,27.2727272727273
2020-02-28 06:00:00,64,64,93,NA,73.4545454545455,58,18.9090909090909,39.0909090909091
2020-02-28 12:00:00,64,64,95,NA,73.5454545454545,62,19.0909090909091,42.9090909090909
2020-02-28 18:00:00,65,65,96,NA,73.6363636363636,62,17.2727272727273,44.7272727272727
2020-02-29 00:00:00,62,62,97,NA,73.7272727272727,70,23.4545454545455,46.5454545454545
2020-02-29 06:00:00,66,66,99,NA,73.8181818181818,66,15.6363636363636,50.3636363636364
2020-02-29 12:00:00,65,65,100,NA,73.9090909090909,70,17.8181818181818,52.1818181818182
2020-02-29 18:00:00,67,67,102,74,74,70,14,56
2020-03-01 00:00:00,59,59,103,NA,71.5,88,25,63
2020-03-01 06:00:00,57,57,104,69,69,94,24,70
2020-03-01 12:00:00,57,57,105,69,69,96,24,72
2020-03-01 18:00:00,57,57,106,NA,69,98,24,74
2020-03-02 00:00:00,57,57,107,69,69,100,24,76
2020-03-02 06:00:00,57,57,108,NA,69,102,24,78
2020-03-02 12:00:00,57,57,109,NA,69,104,24,80
2020-03-02 18:00:00,58,58,110,NA,69,104,22,82
2020-03-03 00:00:00,57,57,110,NA,69,106,24,82
2020-03-03 06:00:00,57,57,111,69,69,108,24,84
2020-03-03 12:00:00,58,58,111,NA,69,106,22,84
2020-03-03 18:00:00,60,60,112,69,69,104,18,86
2020-03-04 00:00:00,58,58,113,69,69,110,22,88
2020-03-04 06:00:00,57,57,113,69,69,112,24,88
2020-03-04 12:00:00,58,58,114,69,69,112,22,90
2020-03-04 18:00:00,64,64,114,69,69,100,10,90
2020-03-05 00:00:00,64,64,114,69,69,100,10,90
2020-03-05 06:00:00,NA,61.3333333333333,115,69,69,107.333333333333,15.3333333333333,92
2020-03-05 12:00:00,NA,58.6666666666667,115,69,69,112.666666666667,20.6666666666667,92
2020-03-05 18:00:00,56,56,115,69,69,118,26,92
2020-03-06 00:00:00,56,56,116,69,69,120,26,94
2020-03-06 06:00:00,56,56,116,69,69,120,26,94
2020-03-06 12:00:00,56,56,116,69,69,120,26,94
