"AirTemp","SendTime2"
-28.9375,2020-02-25 00:00:00
-29.4375,2020-02-25 06:00:00
-29.5625,2020-02-25 12:00:00
-22.9375,2020-02-25 18:00:00
-28.0625,2020-02-26 00:00:00
-31.4375,2020-02-26 06:00:00
-26.8125,2020-02-26 12:00:00
-24.75,2020-02-26 18:00:00
-28,2020-02-27 00:00:00
-27.875,2020-02-27 06:00:00
-26.0625,2020-02-27 12:00:00
-22.8125,2020-02-27 18:00:00
-26.625,2020-02-28 00:00:00
-27.5,2020-02-28 06:00:00
-27.8125,2020-02-28 12:00:00
-23.625,2020-02-28 18:00:00
-27.625,2020-02-29 00:00:00
-25.5625,2020-02-29 06:00:00
-24.75,2020-02-29 12:00:00
-21.875,2020-02-29 18:00:00
-25.6875,2020-03-01 00:00:00
-26.9375,2020-03-01 06:00:00
-28.4375,2020-03-01 12:00:00
-26.125,2020-03-01 18:00:00
-30.0625,2020-03-02 00:00:00
-30.25,2020-03-02 06:00:00
-30.25,2020-03-02 12:00:00
-26.25,2020-03-02 18:00:00
-30.3125,2020-03-03 00:00:00
-29.25,2020-03-03 06:00:00
-26.6875,2020-03-03 12:00:00
-23.6875,2020-03-03 18:00:00
-24.3125,2020-03-04 00:00:00
-25.6875,2020-03-04 06:00:00
-24.125,2020-03-04 12:00:00
-19.8125,2020-03-04 18:00:00
-20.125,2020-03-05 00:00:00
-19.1875,2020-03-05 06:00:00
-19.75,2020-03-05 12:00:00
-20.625,2020-03-05 18:00:00
-23.375,2020-03-06 00:00:00
-26.25,2020-03-06 06:00:00
-25.125,2020-03-06 12:00:00
-23.125,2020-03-06 18:00:00
-26.375,2020-03-07 00:00:00
-28.5,2020-03-07 06:00:00
-26.6875,2020-03-07 12:00:00
-24.375,2020-03-07 18:00:00
-25,2020-03-08 00:00:00
-24.25,2020-03-08 06:00:00
-24.125,2020-03-08 12:00:00
-24.125,2020-03-08 18:00:00
-25.1875,2020-03-09 00:00:00
-25.875,2020-03-09 06:00:00
-25.4375,2020-03-09 12:00:00
-24.75,2020-03-09 18:00:00
-26.75,2020-03-10 00:00:00
-28.375,2020-03-10 06:00:00
-28.1875,2020-03-10 12:00:00
-23.5,2020-03-10 18:00:00
-28.875,2020-03-11 00:00:00
-28.875,2020-03-11 06:00:00
-27.125,2020-03-11 12:00:00
-21.5625,2020-03-11 18:00:00
-25.8125,2020-03-12 00:00:00
-26.4375,2020-03-12 06:00:00
-25.9375,2020-03-12 12:00:00
-21.1875,2020-03-12 18:00:00
-25.5625,2020-03-13 00:00:00
-29.125,2020-03-13 06:00:00
-28.375,2020-03-13 12:00:00
-22.8125,2020-03-13 18:00:00
-28,2020-03-14 00:00:00
-25.8125,2020-03-14 06:00:00
-26.875,2020-03-14 12:00:00
-22.125,2020-03-14 18:00:00
-28.1875,2020-03-15 00:00:00
-30.5625,2020-03-15 06:00:00
-27.875,2020-03-15 12:00:00
-23.625,2020-03-15 18:00:00
-23.625,2020-03-15 18:00:00
-28.6875,2020-03-16 00:00:00
-30.3125,2020-03-16 06:00:00
-29.875,2020-03-16 12:00:00
-21.8125,2020-03-16 18:00:00
-31.625,2020-03-17 00:00:00
-31.625,2020-03-17 06:00:00
-27.1875,2020-03-17 12:00:00
-23.1875,2020-03-17 18:00:00
-23.3125,2020-03-18 00:00:00
-21.75,2020-03-18 06:00:00
-19.8125,2020-03-18 12:00:00
-18,2020-03-18 18:00:00
-18.875,2020-03-19 00:00:00
-18.125,2020-03-19 06:00:00
-11.3125,2020-03-19 12:00:00
-16.8125,2020-03-19 18:00:00
-16.5,2020-03-20 00:00:00
-17.1875,2020-03-20 06:00:00
-13.5,2020-03-20 12:00:00
-14.25,2020-03-20 18:00:00
-19.8125,2020-03-21 00:00:00
-23.8125,2020-03-21 06:00:00
-23,2020-03-21 12:00:00
-15.125,2020-03-21 18:00:00
-20.5,2020-03-22 00:00:00
-24.0625,2020-03-22 06:00:00
-21.5,2020-03-22 12:00:00
-17.25,2020-03-22 18:00:00
-22.5,2020-03-23 00:00:00
-22.4375,2020-03-23 06:00:00
-19.25,2020-03-23 12:00:00
-15.625,2020-03-23 18:00:00
-21.9375,2020-03-24 00:00:00
-20.875,2020-03-24 06:00:00
-18.6875,2020-03-24 12:00:00
-12.3125,2020-03-24 18:00:00
-15.75,2020-03-25 00:00:00
-16.375,2020-03-25 06:00:00
-19.75,2020-03-25 12:00:00
-17,2020-03-25 18:00:00
-21.9375,2020-03-26 00:00:00
-17.25,2020-03-26 06:00:00
-19.6875,2020-03-26 12:00:00
